"x.pos","y.pos"
421072.94562606,-2139876.04726354
418785.65693246,-2135889.34137728
418668.47879465,-2135649.24404368
414802.76409583,-2126169.36878869
414760.44637719,-2126055.88009882
413983.56624298,-2123762.57124395
413948.1959482,-2123646.72904834
410976.02784213,-2112740.35653303
410907.32978404,-2112296.24276864
410542.30715907,-2103372.69628963
410574.50295466,-2102924.45540612
411017.19498846,-2100549.56900125
411119.97581803,-2100189.48709604
413828.80392968,-2093242.55685084
414224.436109,-2092610.53543159
419289.55987736,-2087138.59694679
419568.54205647,-2086888.81339824
435276.10090143,-2075279.54718024
433270.26638853,-2066945.52167821
433222.0931317,-2066648.86301038
432708.60277403,-2060676.99860303
432747.32040871,-2060078.86039724
434026.42033785,-2054223.03080456
434240.63425662,-2053663.22658389
437197.43943642,-2048449.38539184
437567.90956801,-2047978.19514356
441936.84835525,-2043874.63440677
442430.30014972,-2043534.37906882
447818.9671669,-2040909.66868
448391.08021897,-2040730.9089974
454315.48106421,-2039820.79281133
454615.12992955,-2039797.60692407
468042.7016324,-2039770.53728484
496404.46859327,-2036999.85037004
496445.84075939,-2036996.24190718
497273.94413263,-2036932.67073781
497315.38230384,-2036929.92208373
518356.92385715,-2035753.48783642
518467.38508918,-2035750.36955988
520676.64589277,-2035749.06105539
520787.1107411,-2035752.04848148
534134.95121261,-2036482.46755397
534211.26867479,-2036488.11002836
535734.90067804,-2036630.11412784
535810.94641618,-2036638.6720634
549649.39627049,-2038464.73555184
550851.2402414,-2035114.56562891
551199.58092677,-2034506.83709037
555693.41614932,-2029133.48004326
556229.95386324,-2028683.14406738
562301.05059604,-2025188.9624144
562959.9688997,-2024951.26117601
569863.59297726,-2023764.88199593
570214.00860875,-2023736.02254022
715146.54157377,-2024582.69327906
715400.237319,-2024600.34387014
720431.24500169,-2025273.86175186
720680.65002473,-2025323.56294895
728133.62060636,-2027308.78684483
728386.75030674,-2027394.69894939
733312.16506408,-2029442.83373538
733772.99386564,-2029711.50171261
737981.83321808,-2032988.73193625
738355.25366533,-2033369.65559778
741548.11586337,-2037642.85084463
741693.44854497,-2037867.20312696
746350.6524577,-2046233.56353874
746483.85211844,-2046525.89204016
748662.63481293,-2052548.00966687
748781.28631037,-2053177.33610804
748944.92204115,-2059579.38406846
748858.57551744,-2060213.95023937
748587.91029355,-2061101.38038983
748311.58214504,-2065034.54306384
748160.14993991,-2065669.58907567
745629.65668624,-2071687.73819994
745281.77658109,-2072240.18238927
740947.96309343,-2077122.76117952
740440.70303106,-2077533.73852563
737922.87574558,-2078965.26309104
740115.79919476,-2090796.110534
745616.0151765,-2116965.01158871
745655.7542701,-2117266.42135379
745989.09999184,-2123320.02594079
745930.2953217,-2123923.44494068
744434.44405162,-2129798.78976832
744197.53489544,-2130356.86371538
744090.12238611,-2130530.64573118
743466.7001012,-2132942.25959269
743228.53779054,-2133498.18747639
740033.73916795,-2138633.45490566
739854.47585716,-2138878.07221709
726362.60309897,-2154628.57481234
726071.17111794,-2154906.47735683
719744.9000403,-2159824.38824225
719403.70491356,-2160038.27678631
688375.24905973,-2175376.75593014
688082.84541442,-2175493.64703706
682087.54205197,-2177358.01611275
681466.17955795,-2177448.03830786
675188.27411913,-2177361.79586182
674569.61899015,-2177254.73897991
668627.7917494,-2175226.38410483
668338.70941351,-2175101.50486016
661238.74993696,-2171345.61098753
654196.56602124,-2171002.5612514
654092.76387027,-2170994.79265924
652022.16864152,-2170785.51923079
651918.91126961,-2170772.3604801
645990.3911735,-2169859.49188116
638712.26330908,-2169143.19536081
638531.05503734,-2169116.9393134
634938.49583585,-2168427.19589583
634760.44818744,-2168384.47760148
618749.04305987,-2163758.36843618
594411.08366204,-2158795.34214815
594082.66746922,-2158698.45690741
587727.73768239,-2156214.75159765
587420.66089652,-2156063.26630741
585062.50278931,-2154636.8904023
582310.07014992,-2154826.12320979
582028.23967124,-2154825.59532025
576420.35391181,-2154418.93414449
576141.39581455,-2154378.79591645
554858.31068923,-2149766.28120712
553640.82085292,-2149980.92600356
553200.58248529,-2150009.1387584
543116.72842116,-2149539.77502041
533257.2029305,-2149740.0652921
532915.11957462,-2149717.62732472
526162.02565216,-2148687.95929049
525514.22145349,-2148471.17677727
523264.09450673,-2147257.80954919
517995.99190594,-2147565.72596211
517558.07439751,-2147543.16971938
507094.12877022,-2145840.46005063
496356.59879444,-2148238.76567736
496141.22763934,-2148274.65846514
491807.51276855,-2148755.60352104
491589.51243657,-2148767.80523885
478931.55557169,-2148784.26352284
478133.09400682,-2153905.30111597
477941.23976702,-2154500.72612313
475115.10369143,-2160081.66275873
474748.68586555,-2160588.69033724
470336.64122081,-2165023.5252723
469831.50820419,-2165392.55050722
464265.2062624,-2168247.40278733
463670.77761599,-2168442.32218812
457494.79612004,-2169437.88806241
457182.08046671,-2169463.36990605
442095.958299,-2169505.42016109
441775.08519065,-2169480.41828376
435439.27321568,-2168468.9340479
434830.11999571,-2168267.46818972
429140.6148721,-2165301.80718584
428626.60070164,-2164917.82076684
424168.93235513,-2160303.19113336
423802.95650618,-2159776.20174504
421035.88157013,-2153987.51363461
420855.60809378,-2153371.75588099
420063.89741322,-2147004.74654066
420087.87898021,-2146363.59053635
421144.4501346,-2141110.451491
421072.94562606,-2139876.04726354
